% Device,CC1138020
% File name,CC1138020_20150801_170916
% Cast time (UTC),2015-08-01 17:09:16
% Cast time (local),2015-08-01 17:09:16
% Sample type,Cast
% Cast data,Up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,45.19989
% Start longitude,-65.9896599
% Start altitude,-7.4600000381469727
% Start GPS horizontal error(Meter),1.37999999523163
% Start GPS vertical error(Meter),1.66999995708466
% Start GPS number of satellites,10
% End latitude,45.1998191
% End longitude,-65.990245
% End altitude,-4.9600000381469727
% End GPS horizontal error(Meter),1.73000001907349
% End GPS vertical error(Meter),2.29999995231628
% End GPS number of satellites,9
% Cast duration (Seconds),90.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-09-30
% Temperature calibration date,2011-09-30
% Pressure calibration date,2011-09-30
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
30.333309466212526,30.194778906646381,10.309701919555664,35472.3671875,50230.340754950194,32.045672926395717,1487.8517944416481,1024.732387300563
30.15,30.012358373994992,10.298080444335938,35460.8828125,50230.610795423847,32.044477319675572,1487.8055813923993,1024.732583323367
29.85,29.713810225848167,10.329662460845093,35470.460007303962,50199.262512930763,32.026362743726587,1487.8921216215238,1024.7117806437509
29.55,29.415259914815319,10.324267210284315,35473.286879105988,50210.93101229045,32.034083101533447,1487.8771739129386,1024.7173459834235
29.25,29.116710316890927,10.331426081315229,35481.382706914512,50212.214227150296,32.036020435824021,1487.9002917689672,1024.7162862888265
28.95,28.818158326032098,10.34305919865001,35475.571082158465,50187.465214547017,32.020066023242578,1487.9177817635919,1024.7005299300015
28.65,28.519604647368126,10.340324258250027,35479.029346749157,50196.241957891427,32.026071952403115,1487.9103103736422,1024.70431060931
28.35,28.221048751362787,10.387664279891459,35507.668495813923,50169.556564927982,32.01320590606219,1488.0596099230393,1024.6849197321922
28.05,27.922487484429482,10.409912474431351,35510.764913626088,50142.407072126429,31.996857507201394,1488.1146194625055,1024.6670535760363
27.75,27.623923900418689,10.383296014999168,35485.234516286087,50144.048905511387,31.994834008916907,1488.0118263764339,1024.6686254031006
27.45,27.325361474496848,10.380946364044309,35491.949403305327,50156.868386332688,32.003755946422757,1488.0092751738343,1024.6746131971615
27.150000000000002,27.026798902029945,10.387738262562731,35491.544430373964,50146.669684059823,31.997501006435996,1488.0211181556579,1024.6672299407
26.85,26.728235913654668,10.388027191162109,35498.78125,50156.485212130661,32.004622929950507,1488.0258473505364,1024.6713687848119
26.55,26.429672765690349,10.395414303911545,35501.283528856649,50149.552176499608,32.000756259421621,1488.0427126452955,1024.6657449458703
26.25,26.131108409830272,10.389276504516602,35492.2578125,50145.497899583024,31.9972449780963,1488.0115229394967,1024.6626881932953
25.95,25.832541894473557,10.443832188595669,35538.085232249439,50132.9611357376,31.995263023699259,1488.1996481482358,1024.6505328107276
25.650000000000002,25.533965435361242,10.55544274956795,35589.6072291229,50048.043951801672,31.94890022201086,1488.5376816933081,1024.5940496801491
25.35,25.235379145633683,10.569074630737305,35591.5546875,50031.600564529821,31.939028062245008,1488.5694776954842,1024.5826723750893
25.05,24.936790415441628,10.552490265847377,35567.545102503522,50021.172689372208,31.9297358508762,1488.4940926093702,1024.5769114057896
24.75,24.638202195274751,10.552535057067871,35580.640625,50039.526812767384,31.942885036970157,1488.5052209686339,1024.585783082455
24.45,24.339614137053516,10.558773780121312,35578.622203119994,50027.90931869785,31.935534142662839,1488.5136743056942,1024.577633264739
24.150000000000002,24.041025820629034,10.540342900738178,35567.7167595037,50038.5109660337,31.940928252758962,1488.4494399897042,1024.5836215042355
23.85,23.742440131268722,10.527850151062012,35570.6171875,50060.18804438792,31.954899230651943,1488.4167728006166,1024.5952731002835
23.55,23.443854366590298,10.541467666625977,35571.03125,50041.590268093772,31.943503503238318,1488.4467043564137,1024.5827150557609
23.25,23.14526519598212,10.550092697143555,35567.69921875,50024.762975664278,31.932750445440128,1488.4595709493576,1024.5715089891237
22.95,22.8466743780544,10.56793212890625,35588.28515625,50028.611485298032,31.937783312200104,1488.5244196524579,1024.5710202569499
22.650000000000002,22.548080382005029,10.611243534574156,35609.521796022527,49997.582591366183,31.921166184607994,1488.6539250361366,1024.5493092863167
22.35,22.249480078013992,10.642828941345215,35617.53125,49964.512228551153,31.90165494567459,1488.7380029787244,1024.5273428138858
22.05,21.950875007875933,10.662619010453355,35626.552004859659,49949.433038578682,31.893470261313745,1488.7936822761114,1024.5162133741856
